,mean_rounds,mean_utt_Listener-Win,mean_utt_many,mean_utt_some,mean_utt_none,numPins,numColors,speakerStrategy,listenerStrategy,mean_utt_Speaker-Win
0,3.5625,1.0,0.625,1.75,0.1875,4,2,stochasticCoop,stochasticCoop,0.0
1,3.25,1.0,0.4375,1.5,0.3125,4,2,stochasticCoop,stochasticUncoop,0.0
2,3.375,1.0,0.5,1.625,0.25,4,2,stochasticCoop,greedyCoop,0.0
3,3.9375,1.0,0.6875,2.0,0.25,4,2,stochasticCoop,greedyUncoop,0.0
4,5.5625,0.9375,0.125,3.9375,0.5,4,2,stochasticUncoop,stochasticCoop,0.0625
5,3.9375,0.9375,0.0,2.6875,0.25,4,2,stochasticUncoop,stochasticUncoop,0.0625
6,5.0,0.9375,0.125,3.5,0.375,4,2,stochasticUncoop,greedyCoop,0.0625
7,5.0,0.9375,0.0,3.5,0.5,4,2,stochasticUncoop,greedyUncoop,0.0625
8,4.1875,1.0,0.75,2.375,0.0625,4,2,greedyCoop,stochasticCoop,0.0
9,4.1875,1.0,0.6875,2.375,0.125,4,2,greedyCoop,stochasticUncoop,0.0
10,3.375,1.0,0.5,1.625,0.25,4,2,greedyCoop,greedyCoop,0.0
11,3.9375,1.0,0.6875,2.0,0.25,4,2,greedyCoop,greedyUncoop,0.0
12,4.5625,0.9375,0.0,3.0,0.5625,4,2,greedyUncoop,stochasticCoop,0.0625
13,4.625,1.0,0.0,3.25,0.375,4,2,greedyUncoop,stochasticUncoop,0.0
14,5.0,0.9375,0.0,3.5,0.5,4,2,greedyUncoop,greedyCoop,0.0625
15,5.0,0.9375,0.0,3.5,0.5,4,2,greedyUncoop,greedyUncoop,0.0625
