,mean_rounds,mean_utt_some,mean_utt_Listener-Win,mean_utt_many,mean_utt_none,numPins,numColors,speakerStrategy,listenerStrategy,mean_utt_Speaker-Win
0,4.25,2.5,1.0,0.625,0.125,4,2,stochasticCoop,stochasticCoop,0.0
1,3.5,1.6875,1.0,0.5,0.3125,4,2,stochasticCoop,stochasticUncoop,0.0
2,3.75,2.0625,1.0,0.625,0.0625,4,2,stochasticCoop,greedyCoop,0.0
3,4.25,2.3125,1.0,0.6875,0.25,4,2,stochasticCoop,greedyUncoop,0.0
4,4.0625,2.5,1.0,0.0625,0.5,4,2,stochasticUncoop,stochasticCoop,0.0
5,5.375,3.625,1.0,0.1875,0.5625,4,2,stochasticUncoop,stochasticUncoop,0.0
6,4.3125,2.75,1.0,0.25,0.3125,4,2,stochasticUncoop,greedyCoop,0.0
7,4.875,3.3125,0.9375,0.125,0.4375,4,2,stochasticUncoop,greedyUncoop,0.0625
8,3.5,1.75,1.0,0.6875,0.0625,4,2,greedyCoop,stochasticCoop,0.0
9,4.6875,2.75,1.0,0.75,0.1875,4,2,greedyCoop,stochasticUncoop,0.0
10,3.5625,1.875,1.0,0.625,0.0625,4,2,greedyCoop,greedyCoop,0.0
11,3.9375,2.0,1.0,0.6875,0.25,4,2,greedyCoop,greedyUncoop,0.0
12,4.9375,3.3125,0.8125,0.0,0.625,4,2,greedyUncoop,stochasticCoop,0.1875
13,5.5,4.0,0.9375,0.0,0.5,4,2,greedyUncoop,stochasticUncoop,0.0625
14,5.0,3.5,0.9375,0.0,0.5,4,2,greedyUncoop,greedyCoop,0.0625
15,5.0,3.5,0.9375,0.0,0.5,4,2,greedyUncoop,greedyUncoop,0.0625
