,n_rounds,utt_some,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_none
0,4,2.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
1,6,4.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
2,7,5.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
3,7,5.0,1,0.0,4,2,greedyCoop,stochasticUncoop,1.0
4,6,4.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
5,1,0.0,1,0.0,4,2,greedyCoop,stochasticUncoop,0.0
6,2,0.0,1,0.0,4,2,greedyCoop,stochasticUncoop,1.0
7,6,4.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
8,4,2.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
9,4,2.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
10,3,2.0,1,0.0,4,2,greedyCoop,stochasticUncoop,0.0
11,2,0.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
12,4,2.0,1,0.0,4,2,greedyCoop,stochasticUncoop,1.0
13,3,1.0,1,0.0,4,2,greedyCoop,stochasticUncoop,1.0
14,5,3.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
15,4,2.0,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0
