,n_rounds,utt_Listener-Win,utt_none,numPins,numColors,speakerStrategy,listenerStrategy,utt_some,utt_Speaker-Win
0,2,1.0,1.0,4,2,greedyUncoop,greedyCoop,0.0,0.0
1,5,1.0,0.0,4,2,greedyUncoop,greedyCoop,4.0,0.0
2,6,1.0,0.0,4,2,greedyUncoop,greedyCoop,5.0,0.0
3,3,1.0,1.0,4,2,greedyUncoop,greedyCoop,1.0,0.0
4,7,1.0,0.0,4,2,greedyUncoop,greedyCoop,6.0,0.0
5,4,1.0,1.0,4,2,greedyUncoop,greedyCoop,2.0,0.0
6,5,1.0,1.0,4,2,greedyUncoop,greedyCoop,3.0,0.0
7,8,1.0,0.0,4,2,greedyUncoop,greedyCoop,7.0,0.0
8,9,0.0,1.0,4,2,greedyUncoop,greedyCoop,7.0,1.0
9,4,1.0,0.0,4,2,greedyUncoop,greedyCoop,3.0,0.0
10,3,1.0,0.0,4,2,greedyUncoop,greedyCoop,2.0,0.0
11,8,1.0,1.0,4,2,greedyUncoop,greedyCoop,6.0,0.0
12,2,1.0,0.0,4,2,greedyUncoop,greedyCoop,1.0,0.0
13,7,1.0,1.0,4,2,greedyUncoop,greedyCoop,5.0,0.0
14,6,1.0,1.0,4,2,greedyUncoop,greedyCoop,4.0,0.0
15,1,1.0,0.0,4,2,greedyUncoop,greedyCoop,0.0,0.0
