,n_rounds,utt_some,utt_Listener-Win,utt_none,numPins,numColors,speakerStrategy,listenerStrategy,utt_many,utt_Speaker-Win
0,8,6.0,1.0,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
1,4,2.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
2,6,4.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
3,4,2.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
4,3,1.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
5,7,5.0,1.0,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
6,1,0.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
7,3,1.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
8,9,7.0,0.0,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,1.0
9,3,1.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
10,3,1.0,1.0,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
11,5,3.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
12,3,1.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
13,5,3.0,1.0,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
14,3,1.0,1.0,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
15,2,0.0,1.0,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
