,n_rounds,utt_some,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_none,utt_Speaker-Win
0,8,6.0,1.0,1.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0
1,6,4.0,1.0,1.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0
2,7,5.0,1.0,1.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0
3,5,3.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
4,3,1.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
5,4,2.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
6,1,0.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0
7,8,6.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
8,5,4.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0
9,6,5.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0
10,6,4.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
11,3,1.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
12,5,3.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
13,7,5.0,1.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0
14,9,7.0,0.0,0.0,4,2,stochasticUncoop,stochasticCoop,1.0,1.0
15,5,3.0,1.0,1.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0
