,n_rounds,utt_some,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_none,utt_Speaker-Win
0,7,5.0,1.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
1,7,6.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
2,3,2.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
3,8,6.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0,0.0
4,7,5.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0,0.0
5,7,5.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0,0.0
6,6,5.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
7,4,3.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
8,8,7.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
9,1,0.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
10,7,5.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0,0.0
11,7,6.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
12,9,7.0,0.0,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0,1.0
13,2,1.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
14,2,1.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
15,2,1.0,1.0,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
