,n_rounds,utt_some,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_none
0,5,3.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
1,7,5.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
2,2,0.0,1,0.0,4,2,stochasticCoop,stochasticCoop,1.0
3,5,3.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
4,5,3.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
5,6,5.0,1,0.0,4,2,stochasticCoop,stochasticCoop,0.0
6,5,3.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
7,5,3.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
8,3,1.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
9,2,1.0,1,0.0,4,2,stochasticCoop,stochasticCoop,0.0
10,5,3.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
11,4,2.0,1,0.0,4,2,stochasticCoop,stochasticCoop,1.0
12,5,3.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
13,3,2.0,1,0.0,4,2,stochasticCoop,stochasticCoop,0.0
14,3,2.0,1,0.0,4,2,stochasticCoop,stochasticCoop,0.0
15,3,1.0,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0
