,n_rounds,utt_none,utt_finished.,numPins,numColors,speakerStrategy,listenerStrategy,utt_some
0,2,1.0,1,4,2,greedyMin,greedyMax,0.0
1,5,0.0,1,4,2,greedyMin,greedyMax,4.0
2,6,0.0,1,4,2,greedyMin,greedyMax,5.0
3,3,1.0,1,4,2,greedyMin,greedyMax,1.0
4,7,0.0,1,4,2,greedyMin,greedyMax,6.0
5,4,1.0,1,4,2,greedyMin,greedyMax,2.0
6,5,1.0,1,4,2,greedyMin,greedyMax,3.0
7,8,0.0,1,4,2,greedyMin,greedyMax,7.0
8,9,1.0,1,4,2,greedyMin,greedyMax,7.0
9,4,0.0,1,4,2,greedyMin,greedyMax,3.0
10,3,0.0,1,4,2,greedyMin,greedyMax,2.0
11,8,1.0,1,4,2,greedyMin,greedyMax,6.0
12,2,0.0,1,4,2,greedyMin,greedyMax,1.0
13,7,1.0,1,4,2,greedyMin,greedyMax,5.0
14,6,1.0,1,4,2,greedyMin,greedyMax,4.0
15,1,0.0,1,4,2,greedyMin,greedyMax,0.0
