,n_rounds,utt_none,utt_finished.,numPins,numColors,speakerStrategy,listenerStrategy,utt_some
0,2,1.0,1,4,2,greedyMin,greedyMin,0.0
1,3,1.0,1,4,2,greedyMin,greedyMin,1.0
2,5,1.0,1,4,2,greedyMin,greedyMin,3.0
3,4,1.0,1,4,2,greedyMin,greedyMin,2.0
4,9,1.0,1,4,2,greedyMin,greedyMin,7.0
5,8,1.0,1,4,2,greedyMin,greedyMin,6.0
6,6,1.0,1,4,2,greedyMin,greedyMin,4.0
7,7,1.0,1,4,2,greedyMin,greedyMin,5.0
8,6,0.0,1,4,2,greedyMin,greedyMin,5.0
9,5,0.0,1,4,2,greedyMin,greedyMin,4.0
10,7,0.0,1,4,2,greedyMin,greedyMin,6.0
11,8,0.0,1,4,2,greedyMin,greedyMin,7.0
12,3,0.0,1,4,2,greedyMin,greedyMin,2.0
13,4,0.0,1,4,2,greedyMin,greedyMin,3.0
14,2,0.0,1,4,2,greedyMin,greedyMin,1.0
15,1,0.0,1,4,2,greedyMin,greedyMin,0.0
