,n_rounds,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_some,utt_none
0,2,1,1.0,4,2,stochasticCoop,stochasticCoop,0.0,0.0
1,1,1,0.0,4,2,stochasticCoop,stochasticCoop,0.0,0.0
2,4,1,0.0,4,2,stochasticCoop,stochasticCoop,3.0,0.0
3,5,1,1.0,4,2,stochasticCoop,stochasticCoop,3.0,0.0
4,3,1,1.0,4,2,stochasticCoop,stochasticCoop,1.0,0.0
5,5,1,1.0,4,2,stochasticCoop,stochasticCoop,3.0,0.0
6,5,1,0.0,4,2,stochasticCoop,stochasticCoop,4.0,0.0
7,3,1,1.0,4,2,stochasticCoop,stochasticCoop,1.0,0.0
8,2,1,0.0,4,2,stochasticCoop,stochasticCoop,0.0,1.0
9,3,1,0.0,4,2,stochasticCoop,stochasticCoop,1.0,1.0
10,3,1,1.0,4,2,stochasticCoop,stochasticCoop,1.0,0.0
11,5,1,1.0,4,2,stochasticCoop,stochasticCoop,3.0,0.0
12,5,1,1.0,4,2,stochasticCoop,stochasticCoop,3.0,0.0
13,5,1,1.0,4,2,stochasticCoop,stochasticCoop,3.0,0.0
14,2,1,0.0,4,2,stochasticCoop,stochasticCoop,0.0,1.0
15,4,1,1.0,4,2,stochasticCoop,stochasticCoop,2.0,0.0
