,n_rounds,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_some,utt_none
0,2,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
1,3,1,1.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
2,4,1,1.0,4,2,stochasticCoop,stochasticUncoop,2.0,0.0
3,1,1,0.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
4,2,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
5,7,1,0.0,4,2,stochasticCoop,stochasticUncoop,5.0,1.0
6,5,1,0.0,4,2,stochasticCoop,stochasticUncoop,3.0,1.0
7,4,1,0.0,4,2,stochasticCoop,stochasticUncoop,2.0,1.0
8,3,1,1.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
9,2,1,0.0,4,2,stochasticCoop,stochasticUncoop,1.0,0.0
10,5,1,1.0,4,2,stochasticCoop,stochasticUncoop,3.0,0.0
11,1,1,0.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
12,4,1,0.0,4,2,stochasticCoop,stochasticUncoop,2.0,1.0
13,1,1,0.0,4,2,stochasticCoop,stochasticUncoop,0.0,0.0
14,6,1,1.0,4,2,stochasticCoop,stochasticUncoop,4.0,0.0
15,2,1,0.0,4,2,stochasticCoop,stochasticUncoop,0.0,1.0
