,n_rounds,utt_Listener-Win,numPins,numColors,speakerStrategy,listenerStrategy,utt_some,utt_none,utt_many,utt_Speaker-Win
0,1,1.0,4,2,stochasticUncoop,stochasticCoop,0.0,0.0,0.0,0.0
1,5,1.0,4,2,stochasticUncoop,stochasticCoop,3.0,1.0,0.0,0.0
2,6,1.0,4,2,stochasticUncoop,stochasticCoop,4.0,1.0,0.0,0.0
3,8,1.0,4,2,stochasticUncoop,stochasticCoop,6.0,1.0,0.0,0.0
4,2,1.0,4,2,stochasticUncoop,stochasticCoop,1.0,0.0,0.0,0.0
5,6,1.0,4,2,stochasticUncoop,stochasticCoop,4.0,1.0,0.0,0.0
6,8,1.0,4,2,stochasticUncoop,stochasticCoop,7.0,0.0,0.0,0.0
7,5,1.0,4,2,stochasticUncoop,stochasticCoop,3.0,0.0,1.0,0.0
8,6,1.0,4,2,stochasticUncoop,stochasticCoop,4.0,0.0,1.0,0.0
9,4,1.0,4,2,stochasticUncoop,stochasticCoop,3.0,0.0,0.0,0.0
10,4,1.0,4,2,stochasticUncoop,stochasticCoop,2.0,1.0,0.0,0.0
11,8,1.0,4,2,stochasticUncoop,stochasticCoop,6.0,1.0,0.0,0.0
12,5,1.0,4,2,stochasticUncoop,stochasticCoop,4.0,0.0,0.0,0.0
13,8,1.0,4,2,stochasticUncoop,stochasticCoop,6.0,1.0,0.0,0.0
14,9,0.0,4,2,stochasticUncoop,stochasticCoop,7.0,1.0,0.0,1.0
15,4,1.0,4,2,stochasticUncoop,stochasticCoop,3.0,0.0,0.0,0.0
