,n_rounds,utt_some,utt_many,utt_Listener-Win,numPins,numColors,speakerStrategy,listenerStrategy,utt_none
0,5,3.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
1,4,2.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
2,2,0.0,0.0,1,4,2,greedyCoop,stochasticUncoop,1.0
3,3,1.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
4,6,4.0,0.0,1,4,2,greedyCoop,stochasticUncoop,1.0
5,7,5.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
6,5,3.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
7,5,3.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
8,4,2.0,0.0,1,4,2,greedyCoop,stochasticUncoop,1.0
9,6,4.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
10,4,2.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
11,5,4.0,0.0,1,4,2,greedyCoop,stochasticUncoop,0.0
12,6,4.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
13,5,3.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
14,5,3.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
15,3,1.0,1.0,1,4,2,greedyCoop,stochasticUncoop,0.0
