,n_rounds,utt_none,utt_Listener-Win,utt_some,numPins,numColors,speakerStrategy,listenerStrategy,utt_Speaker-Win
0,3,1.0,1.0,1.0,4,2,greedyUncoop,stochasticCoop,0.0
1,3,1.0,1.0,1.0,4,2,greedyUncoop,stochasticCoop,0.0
2,4,1.0,1.0,2.0,4,2,greedyUncoop,stochasticCoop,0.0
3,4,1.0,1.0,2.0,4,2,greedyUncoop,stochasticCoop,0.0
4,2,0.0,1.0,1.0,4,2,greedyUncoop,stochasticCoop,0.0
5,9,1.0,0.0,7.0,4,2,greedyUncoop,stochasticCoop,1.0
6,6,1.0,1.0,4.0,4,2,greedyUncoop,stochasticCoop,0.0
7,9,1.0,0.0,7.0,4,2,greedyUncoop,stochasticCoop,1.0
8,5,0.0,1.0,4.0,4,2,greedyUncoop,stochasticCoop,0.0
9,6,0.0,1.0,5.0,4,2,greedyUncoop,stochasticCoop,0.0
10,2,0.0,1.0,1.0,4,2,greedyUncoop,stochasticCoop,0.0
11,7,0.0,1.0,6.0,4,2,greedyUncoop,stochasticCoop,0.0
12,2,1.0,1.0,0.0,4,2,greedyUncoop,stochasticCoop,0.0
13,9,1.0,0.0,7.0,4,2,greedyUncoop,stochasticCoop,1.0
14,3,0.0,1.0,2.0,4,2,greedyUncoop,stochasticCoop,0.0
15,5,1.0,1.0,3.0,4,2,greedyUncoop,stochasticCoop,0.0
