,n_rounds,utt_some,utt_many,utt_finished,numPins,numColors,speakerStrategy,listenerStrategy,utt_none
0,4,2.0,1.0,1,4,2,stochastic,stochastic,0.0
1,3,1.0,0.0,1,4,2,stochastic,stochastic,1.0
2,4,2.0,1.0,1,4,2,stochastic,stochastic,0.0
3,5,3.0,1.0,1,4,2,stochastic,stochastic,0.0
4,5,4.0,0.0,1,4,2,stochastic,stochastic,0.0
5,2,0.0,1.0,1,4,2,stochastic,stochastic,0.0
6,3,1.0,0.0,1,4,2,stochastic,stochastic,1.0
7,2,1.0,0.0,1,4,2,stochastic,stochastic,0.0
8,2,0.0,0.0,1,4,2,stochastic,stochastic,1.0
9,1,0.0,0.0,1,4,2,stochastic,stochastic,0.0
10,3,1.0,1.0,1,4,2,stochastic,stochastic,0.0
11,1,0.0,0.0,1,4,2,stochastic,stochastic,0.0
12,3,1.0,0.0,1,4,2,stochastic,stochastic,1.0
13,3,1.0,1.0,1,4,2,stochastic,stochastic,0.0
14,4,2.0,0.0,1,4,2,stochastic,stochastic,1.0
15,4,2.0,1.0,1,4,2,stochastic,stochastic,0.0
